,B1,B2,G1,C1,C2,C3,E1,C4,E2,E4,E3,E5,E6
bL17,0,0,1,1,1,1,1,1,1,1,1,1,1
bL19,0,0,1,1,1,1,1,1,1,1,1,1,1
bL20,1,1,0,1,1,1,1,1,1,1,1,1,1
bL21,1,1,0,1,1,1,1,1,1,1,1,1,1
bL25,0,0,0,0,0,0,1,0,1,1,1,1,1
bL27,0,0,0,0,0,0,1,0,1,1,1,1,1
bL28,0,0,0,0,0,0,1,1,1,1,1,1,1
bL32,0,0,0,0,1,1,1,1,1,1,1,1,1
bL33,0,0,0,0,0,0,0,0,0,0,0,0,0
bL34,1,1,0,1,1,1,1,1,1,1,1,1,1
bL35,0,0,0,0,0,0,0,0,0,0,0,0,1
bL36,0,0,0,0,0,0,0,0,0,0,0,0,1
bL9,0,0,0,0,0,0,0,0,0,0,0,0,0
h1,0,0,1,1,1,1,1,1,1,1,1,1,1
h10,1,1,1,1,1,1,1,1,1,1,1,1,1
h100,0,0,1,1,1,1,1,1,1,1,1,1,1
h101,0,0,1,1,1,1,1,1,1,1,1,1,1
h102,0,0,0,1,1,1,1,1,1,1,1,1,1
h103,0,0,0,0,1,1,0,1,1,1,1,1,1
h104,0,0,0,1,1,1,1,1,1,1,1,1,1
h105,0,1,1,1,1,1,1,1,1,1,1,1,1
h106,0,0,1,1,1,1,1,1,1,1,1,1,1
h107,0,1,1,1,1,1,1,1,1,1,1,1,1
h108,0,0,0,0,0,0,1,0,1,1,1,1,1
h109,0,0,0,0,0,0,1,0,1,1,1,1,1
h11,1,1,1,1,1,1,1,1,1,1,1,1,1
h110,0,0,0,0,0,0,1,0,1,1,1,1,1
h111,0,0,0,0,0,0,1,0,1,1,1,1,1
h112,0,0,0,0,0,0,1,0,1,1,1,1,1
h12,1,1,1,1,1,1,1,1,1,1,1,1,1
h13,1,1,1,1,1,1,1,1,1,1,1,1,1
h14,1,1,1,1,1,1,1,1,1,1,1,1,1
h16,1,1,1,1,1,1,1,1,1,1,1,1,1
h18,1,1,1,1,1,1,1,1,1,1,1,1,1
h19,1,1,1,1,1,1,1,1,1,1,1,1,1
h2,1,1,1,1,1,1,1,1,1,1,1,1,1
h20,1,1,1,1,1,1,1,1,1,1,1,1,1
h21,1,1,1,1,1,1,1,1,1,1,1,1,1
h22,1,1,1,1,1,1,1,1,1,1,1,1,1
h23,1,1,1,1,1,1,1,1,1,1,1,1,1
h24,1,1,1,1,1,1,1,1,1,1,1,1,1
h25,1,1,0,1,1,1,1,1,1,1,1,1,1
h26,1,1,0,1,1,1,1,1,1,1,1,1,1
h27,1,1,1,1,1,1,1,1,1,1,1,1,1
h28,1,1,1,1,1,1,1,1,1,1,1,1,1
h29,1,1,0,1,1,1,1,1,1,1,1,1,1
h3,1,1,1,1,1,1,1,1,1,1,1,1,1
h31,0,0,0,0,0,0,1,1,1,1,1,1,1
h32,1,1,0,1,1,1,1,1,1,1,1,1,1
h33,0,0,0,0,1,1,0,1,1,1,1,1,1
h34,0,0,0,0,1,1,0,1,1,1,1,1,1
h35,0,0,0,0,1,1,0,1,1,1,1,1,1
h36,1,1,0,1,1,1,1,1,1,1,1,1,1
h37,1,1,0,1,1,1,1,1,1,1,1,1,1
h38bd,1,1,0,1,1,1,1,1,1,1,1,1,1
h38cp,0,0,0,0,0,0,1,0,1,1,1,1,1
h39,1,1,0,1,1,1,1,1,1,1,1,1,1
h4,1,1,1,1,1,1,1,1,1,1,1,1,1
h40,1,1,0,1,1,1,1,1,1,1,1,1,1
h41,1,1,0,1,1,1,1,1,1,1,1,1,1
h42,0,0,0,0,0,0,1,0,0,0,1,1,1
h43,0,0,0,0,0,0,0,0,0,0,0,0,1
h44,0,0,0,0,0,0,0,0,0,0,0,0,1
h45,1,1,0,1,1,1,1,1,1,1,1,1,1
h46,1,1,0,1,1,1,1,1,1,1,1,1,1
h47,0,1,1,1,1,1,1,1,1,1,1,1,1
h48,0,1,1,1,1,1,1,1,1,1,1,1,1
h49,0,1,1,1,1,1,1,1,1,1,1,1,1
h5,1,1,1,1,1,1,1,1,1,1,1,1,1
h50,0,1,1,1,1,1,1,1,1,1,1,1,1
h51,0,1,1,1,1,1,1,1,1,1,1,1,1
h52,0,0,1,1,1,1,1,1,1,1,1,1,1
h53,0,1,1,1,1,1,1,1,1,1,1,1,1
h54,0,0,1,1,1,1,1,1,1,1,1,1,1
h55,0,0,1,1,1,1,1,1,1,1,1,1,1
h56,0,0,1,1,1,1,1,1,1,1,1,1,1
h57,0,0,1,1,1,1,1,1,1,1,1,1,1
h58,0,0,1,1,1,1,1,1,1,1,1,1,1
h59,0,0,1,1,1,1,1,1,1,1,1,1,1
h6,1,1,1,1,1,1,1,1,1,1,1,1,1
h60,0,1,1,1,1,1,1,1,1,1,1,1,1
h61,0,0,1,1,1,1,1,1,1,1,1,1,1
h62,0,0,0,0,1,1,0,1,1,1,1,1,1
h63,0,0,1,1,1,1,1,1,1,1,1,1,1
h64,0,0,0,0,1,1,0,1,1,1,1,1,1
h65,0,0,0,0,1,1,0,1,1,1,1,1,1
h66,0,0,0,0,1,1,0,1,1,1,1,1,1
h67,0,0,0,0,1,1,0,1,1,1,1,1,1
h68,0,0,0,0,0,0,0,1,0,1,0,1,1
h69,0,0,0,0,0,0,0,1,0,1,0,1,1
h7,1,1,1,1,1,1,1,1,1,1,1,1,1
h70,0,0,0,0,0,0,0,1,0,1,0,1,1
h71,0,0,0,0,0,0,0,0,0,0,0,0,1
h72,0,0,0,1,1,1,1,1,1,1,1,1,1
h73,0,0,0,0,1,1,1,1,1,1,1,1,1
h74,0,0,0,0,0,0,1,0,0,0,1,1,1
h75,0,0,0,0,0,1,1,1,1,1,1,1,1
h76,0,0,0,0,0,0,1,1,1,1,1,1,1
h77,0,0,0,0,0,0,0,0,0,0,0,0,0
h78,0,0,0,0,0,0,0,0,0,0,0,0,0
h79,0,0,0,0,0,1,1,1,1,1,1,1,1
h8,1,1,1,1,1,1,1,1,1,1,1,1,1
h80,0,0,0,0,0,0,0,0,0,0,0,0,1
h81,0,0,0,0,0,0,1,0,1,1,1,1,1
h82,0,0,0,0,0,0,1,0,1,1,1,1,1
h83,0,0,0,0,0,0,1,0,1,1,1,1,1
h84,0,0,0,0,0,0,1,0,1,1,1,1,1
h85,0,0,0,0,0,0,1,0,1,1,1,1,1
h86,0,0,0,0,0,0,1,0,1,1,1,1,1
h87,0,0,0,0,0,0,1,0,1,1,1,1,1
h88,0,0,0,0,0,0,1,1,1,1,1,1,1
h89,0,0,0,0,0,0,0,0,0,0,0,0,1
h9,1,1,1,1,1,1,1,1,1,1,1,1,1
h90,0,0,0,0,0,0,0,0,0,0,0,0,1
h91,0,0,0,0,0,0,0,0,0,0,0,0,1
h92,0,0,0,0,0,0,0,0,0,0,0,0,1
h93,0,0,0,0,0,0,0,0,0,0,0,0,1
h94,0,0,1,1,1,1,1,1,1,1,1,1,1
h95,0,0,1,1,1,1,1,1,1,1,1,1,1
h96,0,0,1,1,1,1,1,1,1,1,1,1,1
h97,0,0,1,1,1,1,1,1,1,1,1,1,1
h98,0,0,1,1,1,1,1,1,1,1,1,1,1
h99,0,0,1,1,1,1,1,1,1,1,1,1,1
uL10,0,0,0,0,0,0,0,0,0,0,0,0,0
uL11,0,0,0,0,0,0,0,0,0,0,0,0,0
uL13,1,1,0,1,1,1,1,1,1,1,1,1,1
uL14,0,0,0,0,1,1,1,1,1,1,1,1,1
uL15,0,0,0,0,0,1,1,1,1,1,1,1,1
uL16,0,0,0,0,0,0,0,0,0,0,0,0,1
uL18,0,0,0,0,0,0,1,0,1,1,1,1,1
uL2,0,0,0,0,1,1,0,1,1,1,1,1,1
uL22,1,1,1,1,1,1,1,1,1,1,1,1,1
uL23,0,1,1,1,1,1,1,1,1,1,1,1,1
uL24,1,1,1,1,1,1,1,1,1,1,1,1,1
uL29,0,1,1,1,1,1,1,1,1,1,1,1,1
uL3,0,0,1,1,1,1,1,1,1,1,1,1,1
uL30,0,0,0,0,0,0,1,0,1,1,1,1,1
uL4,1,1,1,1,1,1,1,1,1,1,1,1,1
uL5,0,0,0,0,0,0,1,0,1,1,1,1,1
uL6,0,0,0,0,0,0,0,0,0,0,0,0,1
